Unnamed: 0,description,hashtags,url,account_id,likes,comments,topic
0.0,Day 68   ,#reels #fyp #barcelona #realmadrid,https://www.instagram.com/reels/C6C3zbfCrj1/,dancing_chicken.daily,37.2K,120,Sports
1.0,,vana.cumm · Original audio,https://www.instagram.com/reels/C6BtBA_x_E-/,vana.cumm,96.7K,411,
2.0,Tag someone 🤡❤️..........         ,#reelsindia #reelsvideos #instareels #instagramreels #friendshipquotes #friendshipquote #explorepage #explore,https://www.instagram.com/reels/C5D0YihJ_9k/,quoteswriter___,428K,12.8K,Relationships
3.0,Yen anthira 🤣🤣     ,#reels #comedy #kannadareels #yashwanthshetty #kannadacomedy #bengaluru,https://www.instagram.com/reels/C27EgB2LJKf/,yashwanth_shettyy,260K,"1,137",Comedy
4.0,Do you remember this guy???  go  ,#pokemon #pokemongo #nostalgia #retrogaming,https://www.instagram.com/reels/C2qqhuJxqdM/,doc.nostalgia,2.1M,"1,939",Gaming
5.0,No caption,,https://www.instagram.com/reels/C5gxPCGy2Gg/,mtbfeeling__,13.5K,43,
6.0,I wish I could recreate this… most requested too•••••••  s  ,#vibes #trending #milkshake,https://www.instagram.com/reels/C5UR-pvuaPd/,tugboat_spenny,4.3M,10.8K,Food
7.0,👉 I’ll make a free edit for the most liked comment 👈.         ists,#memes #artistsoninstagram #artistsofinstagram #artcommunity #designers #designercommunity #cats #graphicdesigner #digitalart #digitalartists,https://www.instagram.com/reels/C3w-LSfpLH-/,_darkder_,39.3K,382,Crafts
8.0,precise calibration of NKR 71 nozzles...  ,#biarkanparadriversyangberbicara #isuzutruck #nmr71,https://www.instagram.com/reels/C5Bi3zAJdiH/,garudamasengineering,313K,388,Technology
9.0,     ,#martialarts #reflex #train #cringe #alpha #sigma,https://www.instagram.com/reels/C4wLTKPNI0h/,renzorage,743K,"1,510",Sports
10.0,Consistency is key 🔑…DM FOR ONLINE TRAINING ✅...       horts  page   ,#shorts #ﬁtness #transformation #motivation #dietplan #reelsinstagram #explore #shortshorts #foryou #explorepage #trending #like #share,https://www.instagram.com/reels/C4NMEHHPx3m/,shubhasish_1999,571K,"2,578",Fitness
11.0,🙈 ,#comedy #memes,https://www.instagram.com/reels/C2pLhRDxhtE/,rizzler.frr,88.4K,225,Comedy
12.0,Really underrated piece of work! 💾,,https://www.instagram.com/reels/C4vVRlotTLs/,the_goodfilms,95.5K,371,
