Year,Tropical_Storms,Hurricanes,Major_Hurricanes
1880,11,9,2
1881,7,4,0
1882,6,4,2
1883,4,3,2
1884,4,4,1
1885,8,6,0
1886,12,10,4
1887,19,11,2
1888,9,6,2
1889,9,6,0
1890,4,2,1
1891,10,7,1
1892,9,5,0
1893,12,10,5
1894,7,5,4
1895,6,2,0
1896,7,6,2
1897,6,3,0
1898,11,5,1
1899,10,5,2
1900,7,3,2
1901,13,6,0
1902,5,3,0
1903,10,7,1
1904,6,4,0
1905,5,1,1
1906,11,6,3
1907,5,0,0
1908,10,6,1
1909,12,6,4
1910,5,3,1
1911,6,3,0
1912,7,4,1
1913,6,4,0
1914,1,0,0
1915,6,5,3
1916,15,10,5
1917,4,2,2
1918,6,4,1
1919,5,2,1
1920,5,4,0
1921,7,5,2
1922,5,3,1
1923,9,4,1
1924,11,5,2
1925,4,1,0
1926,11,8,6
1927,8,4,1
1928,6,4,1
1929,5,3,1
1930,3,2,2
1931,13,3,1
1932,15,6,4
1933,20,11,6
1934,13,7,1
1935,8,5,3
1936,17,7,1
1937,11,4,1
1938,9,4,2
1939,6,3,1
1940,9,6,0
1941,6,4,3
1942,11,4,1
1943,10,5,2
1944,14,8,3
1945,11,5,2
1946,7,3,0
1947,10,5,2
1948,10,6,4
1949,16,7,2
1950,16,11,6
1951,12,8,3
1952,11,5,2
1953,14,7,3
1954,16,7,3
1955,13,9,4
1956,12,4,1
1957,8,3,2
1958,12,7,3
1959,14,7,2
1960,8,4,2
1961,12,8,5
1962,7,4,0
1963,10,7,3
1964,13,7,5
1965,10,4,1
1966,15,7,3
1967,13,6,1
1968,9,4,0
1969,18,12,3
1970,14,7,2
1971,13,6,1
1972,7,3,0
1973,8,4,1
1974,11,4,2
1975,9,6,3
1976,10,6,2
1977,6,5,1
1978,12,5,2
1979,9,5,2
1980,11,9,2
1981,12,7,3
1982,6,2,1
1983,4,3,1
1984,13,5,1
1985,11,7,3
1986,6,4,0
1987,7,3,1
1988,12,5,3
1989,11,7,2
1990,14,8,1
1991,8,4,2
1992,7,4,1
1993,8,4,1
1994,7,3,0
1995,19,11,5
1996,13,9,6
1997,8,3,1
1998,14,10,3
1999,12,8,5
2000,15,8,3
2001,15,9,4
2002,12,4,2
2003,16,7,3
2004,15,9,6
2005,28,15,7
2006,10,5,2
2007,15,6,2
2008,16,8,5
2009,9,3,2
2010,19,12,5
2011,19,7,4
2012,19,10,2
2013,14,2,0
2014,8,6,2
2015,11,4,2
2016,15,7,4
2017,17,10,6
2018,15,8,2
2019,18,6,3
2020,30,14,7
2021,21,7,4
2022,14,8,2
2023,20,7,3
2024,18,11,5
